Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
1;0;0;0.90301878;0.05746356;0.181772233;0.204702764;0.720708025
1;0;1;0.525528134;0.010401491;0.124997172;0.053998104;0.431609182
1;0;2;0.344762342;-0.098890782;0.139840447;-0.185268595;0.274564625
1;0;3;0.590908676;-0.097931889;0.192246402;-0.115682265;0.480909925
1;0;4;0.486539614;-0.080633685;0.166638572;-0.120963109;0.399596675
1;0;5;0.603357462;-0.072116357;0.175786811;-0.029074079;0.514810563
1;0;6;0.203122801;0.070079677;0.074796083;-0.057624918;0.135599276
1;0;7;0.214619763;0.044236191;0.082943321;-0.068496686;0.140956497
1;0;8;0.531240792;-0.049497516;0.156786279;-0.016272835;0.462465905
1;0;9;0.540805589;-0.078579514;0.178150508;-0.082785388;0.464134713
1;0;10;0.566654534;-0.085656301;0.196639279;-0.125657084;0.492729479
1;0;11;0.545702034;-0.018475412;0.169623961;-0.054793194;0.471994632
1;0;12;0.264791487;0.063009861;0.067628387;0.032824538;0.200286187
1;0;13;0.227709338;0.051261963;0.033935725;0.110091407;0.16591778
1;0;14;0.506888927;-0.033227978;0.130321122;0.041535076;0.460074967
1;0;15;0.628748726;0.015857879;0.093209965;0.289265558;0.587077284
1;0;16;0.655889101;0.025363277;0.108536615;0.258674712;0.604986584
1;0;17;0.570675903;0.022053257;0.134793548;0.075238002;0.513231273
1;0;18;0.091596483;-0.00598383;0.021882601;0.013952366;0.077646883
1;0;19;0.062915957;0.005098269;-0.000196532;0.063620532;0.051583782
1;0;20;0.51597611;-0.024477229;0.128996862;0.034431588;0.466543485
1;0;21;0.529471628;-0.021976444;0.119414396;0.08012205;0.491703825
1;0;22;0.534613739;-0.007856046;0.122007173;0.075128411;0.47259804
1;0;23;0.529335982;0.007359263;0.131348733;0.032546149;0.479617923
1;0;24;0.547033664;0.029140594;0.142418762;0.006463969;0.489874128
1;0;25;0.61417493;0.03736305;0.135814419;0.115635953;0.550781262
1;0;26;0.540555591;-0.083303446;0.158958514;-0.047241078;0.470149027
1;0;27;0.499740639;0.025633137;0.080687597;0.194856685;0.437712264
1;0;28;0.585553855;0.03233454;0.098891963;0.209715081;0.544142889
1;0;29;0.598696381;-0.018089018;0.111305757;0.175096266;0.551846595
1;0;30;0.613351076;-0.020103564;0.123499581;0.141509008;0.562605005
1;0;31;0.533483882;-0.063939359;0.128064746;0.047992236;0.491111889
1;0;32;0.564011312;-0.061290222;0.142799952;0.023029126;0.490102006
1;0;33;0.588299833;-0.083039031;0.148354098;0.025275678;0.515331718
1;0;34;0.550252179;-0.079331929;0.153344451;-0.032643123;0.489574914
1;0;35;0.550850822;-0.061908003;0.187796782;-0.153170207;0.471353318
1;0;36;0.581334685;-0.089301442;0.211321111;-0.216895665;0.47643537
1;0;37;0.710061451;-0.102214195;0.263272305;-0.266028365;0.47082831
1;0;38;0.683406432;-0.056816213;0.213501896;-0.095609788;0.446194969
1;0;39;0.46776696;-0.08273223;0.162826942;-0.132939888;0.40532521
1;0;40;0.598177211;-0.128250831;0.215979562;-0.21229981;0.488840293
1;0;41;0.625848161;-0.130032795;0.252802702;-0.314264635;0.504770953
