Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
1;0;0;0.81485682;-0.052352896;0.19381304;0.066415319;0.635898394
1;0;1;0.510552651;-0.093734827;0.131146972;0.014218001;0.419222205
1;0;2;0.317028713;-0.013633993;0.034763952;0.18940681;0.284865118
1;0;3;0.605594022;-0.046960413;0.133286465;0.121248021;0.524591471
1;0;4;0.450599174;-0.104582229;0.154770775;-0.115650749;0.387735567
1;0;5;0.590919628;-0.052693473;0.148671545;0.062726168;0.520170508
1;0;6;0.550810159;-0.028170902;0.124897094;0.110365689;0.482330882
1;0;7;0.582981493;-0.056840983;0.151422634;0.060215624;0.517593228
1;0;8;0.561674524;-0.011493672;0.120900769;0.148198299;0.509410364
1;0;9;0.54095757;-0.051717043;0.136824309;0.082417134;0.487338985
1;0;10;0.486659457;-0.020252185;0.111086314;0.117283994;0.429942654
1;0;11;0.47996513;-0.098622825;0.144861034;0.000558775;0.377140978
1;0;12;0.47368739;-0.118447182;0.126896377;0.056019518;0.415131774
1;0;13;0.44869003;-0.00274208;0.082630854;0.182570737;0.423861951
1;0;14;0.519683271;-0.109823075;0.175175813;-0.060481068;0.440422548
1;0;15;0.565843325;-0.019312241;0.126697031;0.142501114;0.500120137
1;0;16;0.534921462;-0.014455112;0.113782592;0.156223382;0.472053926
1;0;17;0.466128506;-0.112622859;0.152893836;-0.040332517;0.399551842
1;0;18;0.537306618;-0.140845907;0.178759889;-0.059542208;0.485246293
1;0;19;0.517326816;-0.014093741;0.142924583;0.039408706;0.466110025
1;0;20;0.531129257;-0.076019315;0.156635182;0.13560038;0.468703493
1;0;21;0.512841088;-0.08893202;0.105205764;0.154836747;0.465899488
1;0;22;0.497143318;-0.062356927;0.113439475;0.110144307;0.444084329
1;0;23;0.520951188;-0.01758625;0.134359775;0.065115175;0.474329872
1;0;24;0.491455051;-0.01631378;0.142375768;0.00723106;0.459811897
1;0;25;0.548097977;-0.049023688;0.09514703;0.228479262;0.507051506
1;0;26;0.653462278;-0.202664622;0.198497194;-0.034936194;0.553627097
1;0;27;0.592080723;-0.02839112;0.188189856;-0.0655885;0.49372063
1;0;28;0.580211738;-0.030771391;0.175738793;-0.031558303;0.494990553
1;0;29;0.596319567;-0.014695579;0.172991363;-0.005402487;0.52575391
1;0;30;0.446831251;-0.004629893;0.116062846;0.050180709;0.406867273
1;0;31;0.416962523;-0.006549635;0.124228199;-0.007313804;0.386396994
