Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
2;0;0;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;1;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;2;-0.711241594;0.337886532;-0.366435408;0.144169604;0.059754341
2;0;3;-0.781441423;0.476359806;-0.356691621;0.065427613;-0.190053692
2;0;4;-0.770631974;0.382807137;-0.326022848;0.008944246;-0.222377855
2;0;5;-0.578122669;0.338195646;-0.295443773;0.135841967;-0.225930998
2;0;6;-0.492402625;0.313776074;-0.27561733;0.176786114;-0.153246925
2;0;7;-0.417926432;0.130703219;-0.208570703;0.096387512;-0.418487621
2;0;8;-0.065009021;0.125930165;-0.117406771;0.231096001;-0.082122726
2;0;9;-0.234551493;0.012989248;-0.098293111;0.020129352;-0.552311906
2;0;10;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;11;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;12;-1.090262612;0.314444005;-0.473573398;0.015650809;-0.963160711
2;0;13;-1.084870218;0.343467118;-0.443784132;-0.008549687;-1.220963292
2;0;14;-1.220345956;0.380249335;-0.475149217;-0.076243918;-1.290707367
2;0;15;-0.490363286;0.419459444;-0.356061522;0.352843036;-0.231290701
2;0;16;-0.254837596;0.159371283;-0.228470048;0.302699011;-0.273713378
2;0;17;-0.644957932;0.153136715;-0.278674785;0.047964557;-0.828861378
2;0;18;-0.758468563;0.153699736;-0.311792382;0.010644208;-0.983426818
2;0;19;-0.594497823;0.123354131;-0.264204438;0.053517237;-0.723318895
2;0;20;-0.701977882;0.123414726;-0.278072576;-0.022210115;-0.86406344
2;0;21;-0.655575029;0.125911179;-0.252228558;-0.039465777;-0.740238432
2;0;22;-0.609817069;0.190009124;-0.250957795;0.003374972;-0.673359693
2;0;23;-0.519421667;0.037828136;-0.17510199;-0.073143124;-0.812903551
2;0;24;-0.905418748;0.101423013;-0.27956414;-0.210990013;-1.104043693
2;0;25;-0.494309772;0.062286985;-0.192108805;-0.024099188;-0.735283343
