Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
1;0;0;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;1;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;2;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;3;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;4;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;5;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;6;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;7;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;8;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;9;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;10;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;11;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;12;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;13;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;14;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;15;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;16;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;17;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;0;18;0.243854791;0.003839108;0.058035002;0.006167244;0.249647246
1;0;19;0.568488349;0.051656623;0.108169742;0.152398411;0.525083029
1;0;20;0.531800483;0.073028866;0.086477713;0.202966727;0.508198207
1;0;21;0.468945977;-0.044336806;0.08640615;0.138789507;0.449157306
1;0;22;0.47981289;-0.093829464;0.101295006;0.090923289;0.473107395
1;0;23;0.460600968;-0.032145614;0.123503545;-0.009970496;0.460270764
1;0;24;0.371558594;0.032854284;0.108575305;-0.040166492;0.378559258
1;0;25;0.469591863;-0.047755623;0.119359091;0.007317973;0.483134878
1;0;26;0.464812657;-0.04155869;0.122027339;-0.008200678;0.470584437
1;0;27;0.454604138;-0.077185859;0.132612236;-0.059421503;0.471715804
1;0;28;0.451873742;-0.030795581;0.136745222;-0.078877969;0.461044604
1;0;29;0.483548878;-0.07879347;0.123490542;0.00300316;0.506456418
1;0;30;0.473761284;-0.072341719;0.13101991;-0.03732209;0.493346129
1;0;31;0.42261574;-0.102939615;0.133785693;-0.10437157;0.45104172
1;0;32;0.489732032;-0.008283013;0.119666639;-0.02818792;0.508470937
1;0;33;0.499739761;-0.034446875;0.120061936;0.025326583;0.529481801
1;0;34;0.463864661;0.020341459;0.108696515;0.035933482;0.485551536
1;0;35;0.472789424;-0.040544999;0.113314916;0.02444599;0.516601643
1;0;36;0.46060269;-0.01217307;0.114686892;0.006629715;0.507440185
1;0;37;0.462459814;-0.071534436;0.108502756;0.026915297;0.511993053
1;0;38;0.512708384;-0.057290175;0.096403014;0.127246352;0.565951408
1;0;39;0.45724563;-0.043572136;0.134906809;-0.086995729;0.50255303
1;0;40;0.473784486;-0.107273744;0.171475954;-0.226305478;0.517853105
1;0;41;0.513940237;-0.101889742;0.134458253;-0.040902036;0.526687914
1;0;42;0.563926339;-0.104498157;0.170561844;-0.14830363;0.562312952
1;0;43;0.592662768;-0.002041492;0.135693909;-0.001712115;0.541203748
1;0;44;-1.207665063;-0.030936632;-0.242315125;-0.266904618;-1.15886734
1;0;45;-1.420352459;-0.092471549;-0.311581655;-0.182864814;-1.35201854
1;0;46;0.626259378;-0.13616928;0.136451954;0.000674438;0.54734464
1;0;47;0.456772013;-0.054902104;0.013236817;0.392993087;0.395863106
1;1;0;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;1;0;0;0;0;0
1;1;2;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;3;0;0;0;0;0
1;1;4;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;5;0;0;0;0;0
1;1;6;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;7;0;0;0;0;0
1;1;8;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;9;0;0;0;0;0
1;1;10;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;11;0;0;0;0;0
1;1;12;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;13;0;0;0;0;0
1;1;14;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;15;0;0;0;0;0
1;1;16;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
1;1;17;0;0;0;0;0
1;1;18;-0.140039696;-0.010829994;-0.000541097;-0.095321959;-0.120449451
1;1;19;0;0;0;0;0
1;1;20;0.002370926;-0.050024621;0.029813155;-0.12095312;-0.018152522
1;1;21;0;0;0;0;0
1;1;22;-0.067249295;-0.09720589;0.050468435;-0.259680721;-0.07074768
1;1;23;0;0;0;0;0
1;1;24;-0.074256876;0.032368954;-0.006759627;-0.054516904;-0.07433132
1;1;25;0;0;0;0;0
1;1;26;-0.053514343;-0.00306349;0.024000322;-0.137110167;-0.051992066
1;1;27;0;0;0;0;0
1;1;28;-0.05392863;-0.037434189;0.033792477;-0.18440688;-0.060573095
1;1;29;0;0;0;0;0
1;1;30;-0.025870782;-0.055039483;0.020294775;-0.101384585;-0.025774638
1;1;31;0;0;0;0;0
1;1;32;0.025258937;-0.021686473;0.024825752;-0.06478412;0.017106195
1;1;33;0;0;0;0;0
1;1;34;-0.0390262;-0.021496721;0.026690721;-0.148617277;-0.040206792
1;1;35;0;0;0;0;0
1;1;36;-0.061451151;-0.037472172;0.037849218;-0.204577251;-0.057494219
1;1;37;0;0;0;0;0
1;1;38;-0.038389064;-0.055373316;0.040186042;-0.198769623;-0.044017627
1;1;39;0;0;0;0;0
1;1;40;-0.009217098;-0.086231183;0.043697898;-0.181195429;-0.010428335
1;1;41;0;0;0;0;0
1;1;42;-0.066842148;1.59E-05;-0.01146327;-0.019684851;-0.050282693
1;1;43;0;0;0;0;0
1;1;44;-1.462090396;0.016971799;-0.330496082;-0.19193935;-1.394720406
1;1;45;0;0;0;0;0
1;1;46;-0.190251733;-0.116647478;-0.048489952;0.03906369;-0.133849802
1;1;47;0;0;0;0;0
1;2;0;-0.199564693;-0.024639615;-0.095378297;0.242407575;-0.100253906
1;2;1;-0.199437633;-0.009433535;-0.028932377;0.004171328;-0.095041834
1;2;2;-0.275505445;-0.073809988;-0.051754277;0.040517087;-0.202891297
1;2;3;-0.31771292;-0.056630309;-0.02704266;-0.097927871;-0.2177645
1;2;4;-0.192131414;-0.028765143;-0.006889364;-0.070752734;-0.114544389
1;2;5;-0.232900252;-0.001694728;-0.029904228;-0.028512308;-0.139196934
1;2;6;-0.162152098;-0.008979954;0.003032572;-0.089170701;-0.09136995
1;2;7;-0.217735034;-0.013305385;-0.01783198;-0.042554013;-0.120289327
1;2;8;-0.205540458;-0.061498979;0.00229384;-0.083805078;-0.133386194
1;2;9;-0.254548629;-0.015797362;-0.031241208;0.001846236;-0.159669118
1;2;10;-0.180862591;-0.003343682;-0.000525933;-0.058788039;-0.124415722
1;2;11;-0.197595836;0.012054649;-0.010992738;-0.063771113;-0.129963169
1;2;12;-0.229185289;0.027209243;-0.011711523;-0.064976552;-0.166574668
1;2;13;-0.279847931;-0.015560663;-0.031814255;-0.032787565;-0.198523818
1;2;14;-0.15481979;0.00250766;-0.018765156;0.035271577;-0.099702329
1;2;15;-0.179715747;-0.017557839;-0.016473049;-0.025634208;-0.128089204
1;2;16;-0.08622752;-0.056822228;0.006825173;-0.098298786;-0.056757416
1;2;17;-0.152198819;-0.049617595;0.004031275;-0.125846933;-0.112114927
1;2;18;-0.211294529;-0.030104026;0.021378884;-0.175412258;-0.188200347
1;2;19;-0.115424131;-0.047020007;0.033739322;-0.216552368;-0.113902677
1;2;20;-0.072758728;0.023532282;0.035895329;-0.202215319;-0.077186049
1;2;21;-0.085031561;-0.053119114;0.021655947;-0.165667192;-0.079523883
1;2;22;-0.105620939;-0.06770165;0.025440989;-0.252786856;-0.109833995
1;2;23;-0.131034096;-0.088865571;0.065320359;-0.366012151;-0.141503317
1;2;24;-0.094550028;-0.105043853;-0.020325178;-0.071803432;-0.102024105
1;2;25;-0.05251762;-0.025680446;0.01784547;-0.115234429;-0.064935648
1;2;26;-0.123591424;-0.016941523;0.02594295;-0.199535794;-0.133982534
1;2;27;-0.100322308;-0.029763665;0.036687906;-0.227094109;-0.108933275
1;2;28;-0.223862757;-0.019765081;0.00657671;-0.251359522;-0.218354888
1;2;29;-0.219151334;-0.041697439;0.004115315;-0.233964183;-0.208371882
1;2;30;-0.084907912;-0.045982595;0.032025111;-0.199044519;-0.090002975
1;2;31;-0.076773463;-0.041572236;0.017227133;-0.141042353;-0.075355479
1;2;32;-0.219299506;-0.047508844;-0.023581266;-0.133026291;-0.23993874
1;2;33;-0.283851235;-0.039078218;-0.011949606;-0.237727357;-0.301650207
1;2;34;-0.155880709;-0.015860262;0.029953249;-0.301751885;-0.156943167
1;2;35;-0.081469519;-0.02025167;0.007718657;-0.10530401;-0.074368223
1;2;36;-0.06682596;0.025592506;0.007186829;-0.074568995;-0.062790848
1;2;37;-0.066092426;-0.02220009;0.015791856;-0.125164996;-0.07844338
1;2;38;-0.037097972;-0.049152547;0.026009254;-0.136702292;-0.055441017
1;2;39;-0.055353924;-0.030933307;0.015536446;-0.106977713;-0.064958255
1;2;40;-0.1967628;-0.049057334;0.031545505;-0.316699639;-0.200093246
1;2;41;-0.116476695;-0.031461683;0.006872524;-0.147091812;-0.114031613
1;2;42;-0.186121069;-0.009229403;-0.018221325;-0.119046782;-0.164845259
1;2;43;-0.121570125;0.040329805;-0.013717684;-0.058469014;-0.091510461
1;2;44;-0.090562627;-0.021518342;0.060482432;-0.322375108;-0.077065203
1;2;45;-0.116564137;-0.031392422;-0.010884742;-0.023793009;-0.089341085
1;2;46;-0.277797841;-0.114898735;-0.033318775;-0.093605242;-0.22320492
1;2;47;-0.004239181;-0.013534162;-0.010375261;0.040305007;0.005520704
1;3;0;0.563470346;-0.045136925;0.117918495;0.058023712;0.451942601
1;3;1;0;0;0;0;0
1;3;2;-0.099018248;-0.080469078;-0.003689459;-0.06121034;-0.081350101
1;3;3;0;0;0;0;0
1;3;4;-0.01839327;-0.018947574;0.036667633;-0.168476162;-0.030927223
1;3;5;0;0;0;0;0
1;3;6;-0.023362747;-0.04316834;0.032367606;-0.164150802;-0.028206095
1;3;7;0;0;0;0;0
1;3;8;-0.052253452;-0.08104605;0.019359787;-0.103636291;-0.036066012
1;3;9;0;0;0;0;0
1;3;10;-0.005036071;-0.028348307;0.026274813;-0.105464814;-0.005444006
1;3;11;0;0;0;0;0
1;3;12;-0.08652753;-0.001530308;0.018934691;-0.155594329;-0.081464205
1;3;13;0;0;0;0;0
1;3;14;-0.005283744;-0.041006993;0.03202542;-0.107875995;-0.009609218
1;3;15;0;0;0;0;0
1;3;16;-0.042731361;-0.089746561;0.039198334;-0.200795452;-0.041790739
1;3;17;0;0;0;0;0
1;3;18;-0.070411186;-0.034064386;0.031334345;-0.167325139;-0.066504239
1;3;19;0;0;0;0;0
1;3;20;-0.055166792;0.011839462;0.031259416;-0.177042959;-0.048332216
1;3;21;0;0;0;0;0
1;3;22;-0.037853224;-0.109908337;0.048364596;-0.212606124;-0.0344389
1;3;23;0;0;0;0;0
1;3;24;-0.054966468;-0.044278092;0.005901117;-0.084737966;-0.060778955
1;3;25;0;0;0;0;0
1;3;26;-0.045592907;-0.036476306;0.015326226;-0.087986061;-0.046161938
1;3;27;0;0;0;0;0
1;3;28;-0.15383534;-0.024106383;0.015077447;-0.209475529;-0.145333098
1;3;29;0;0;0;0;0
1;3;30;-0.025204776;-0.066346538;0.03924987;-0.163956062;-0.027851711
1;3;31;0;0;0;0;0
1;3;32;-0.168822016;-0.062228646;-0.004422993;-0.15482873;-0.187934724
1;3;33;0;0;0;0;0
1;3;34;-0.090818239;-0.037813365;0.040578975;-0.243046867;-0.082670521
1;3;35;0;0;0;0;0
1;3;36;-0.010027772;0.015354064;0.012583447;-0.061038735;0.000692683
1;3;37;0;0;0;0;0
1;3;38;-0.01367662;-0.006789856;0.004926537;-0.021318202;-0.014564424
1;3;39;0;0;0;0;0
1;3;40;-0.032916613;-0.050755644;0.024244737;-0.128110299;-0.030486979
1;3;41;0;0;0;0;0
1;3;42;-0.114920756;-0.019770417;-0.001927263;-0.106185524;-0.096129521
1;3;43;0;0;0;0;0
1;3;44;-0.025648634;-0.028283758;0.077188959;-0.359080024;-0.027337111
1;3;45;0;0;0;0;0
1;3;46;-0.168840653;-0.10606359;-0.008306429;-0.0839297;-0.135669448
1;3;47;0;0;0;0;0
1;4;0;0.500405571;0.001335578;0.039625391;0.334851244;0.431889257
1;4;1;0.078698509;-0.030313254;0.028024883;-0.079247102;0.054149005
1;4;2;-0.196270759;-0.131752669;0.018887106;-0.297053223;-0.236102052
1;4;3;-0.10324824;-0.066481813;0.019218652;-0.238916194;-0.159559006
1;4;4;0.027802022;-0.003017752;0.053944279;-0.213393505;-0.023754807
1;4;5;0.050254964;-0.058605235;0.058002447;-0.207294067;0.00881462
1;4;6;0.138276159;-0.05185544;0.06721202;-0.196236318;0.032158011
1;4;7;0.03062948;-0.059520731;0.05393196;-0.217788756;-0.016619475
1;4;8;0.0615829;-0.097639566;0.057162041;-0.164954418;0.019993966
1;4;9;0.094679467;-0.060305556;0.047709558;-0.168904718;0.046213321
1;4;10;0.004902057;-0.037794173;0.034955892;-0.156657599;-0.017491679
1;4;11;0.043131044;-0.030517369;0.034591432;-0.10872759;0.023434843
1;4;12;0.000119134;0.012498118;0.041309724;-0.195690801;-0.037153546
1;4;13;0.092322115;-0.01862399;0.026189175;-0.089224586;0.051340607
1;4;14;0.042062271;-0.025512649;0.054208369;-0.213853175;0.021058303
1;4;15;0.037776796;-0.032506593;0.037034571;-0.154835676;0.013982751
1;4;16;-0.029202966;-0.082949898;0.044166955;-0.225674579;-0.043088004
1;4;17;-0.009920071;-0.044300282;0.020842828;-0.093242951;-0.011953357
1;4;18;-0.059074968;-0.056853275;0.050616125;-0.173839828;-0.057875949
1;4;19;-0.006279586;-0.047006091;0.041960729;-0.165277166;-0.013301218
