Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
3;0;0;159720.9729;160408.5656;836298.5758;189710.1246;-0.242486803;-15.68974161;16.87941343;11.85779428;-25.35187746;0.004826961;675890.0102;11.92018126;2.382266924;0.677851719;87.78422494
3;0;1;158710.8145;159483.8256;875563.1739;196987.7251;0.037166238;-17.00935877;16.88205228;13.22817047;-25.28562091;0.004350168;716079.3483;13.44078241;2.456801159;0.718289624;87.78422494
3;0;2;149577.9083;150167.9126;713020.036;181711.6304;-7.587526737;-3.270882718;17.35914779;1.474350336;10.8369783;0.004396134;562852.1234;12.00691393;2.247366042;0.994931717;87.78422494
3;0;3;147209.3794;147871.842;776169.9296;181121.238;-0.310929487;-17.08365935;16.79235732;13.25388443;-24.88895044;0.005558383;628298.0877;12.09752355;2.392025183;0.694539177;87.78422494
3;0;4;138211.5237;138988.5374;729551.1193;168767.4044;-0.252459365;-16.74417749;16.70536282;12.90797928;-25.22020517;0.00448754;590562.5819;12.57482656;2.392043164;0.677200036;87.78422494
3;0;5;147878.4834;148322.3279;678521.0446;180956.895;-8.756579383;-3.32004698;17.34383078;1.464249291;11.84319023;0.004686403;530198.7166;13.04982252;2.19365777;0.994887655;87.78422494
3;0;6;146525.2323;147261.8909;727371.8009;182481.6271;-0.874925086;-18.78887647;16.82234472;14.9286898;-24.02335847;0.004591176;580109.91;13.29226177;2.304308864;0.715931896;87.78422494
3;0;7;145055.3529;145648.8923;764781.2694;182138.9418;0.076292698;-20.0231151;16.77676579;16.22676518;-25.61421527;0.004075149;619132.3771;13.81142753;2.392552461;0.729850949;87.78422494
3;0;8;146625.1321;147298.3792;855049.6357;187688.9659;0.898521822;-17.12077132;16.76614489;13.40170683;-25.77790054;0.004914319;707751.2565;13.10788702;2.537266615;0.752336832;87.78422494
3;0;9;136736.3849;137399.6253;705243.0018;172386.7236;-0.566899886;-18.42073336;16.71476886;14.58755008;-24.49133124;0.003614542;567843.3765;13.13640042;2.359742375;0.719072411;87.78422494
3;0;10;144629.0318;145186.8172;836543.2056;181659.6666;0.8497359;-15.41389179;16.72938491;11.6841682;-25.87428298;0.004639349;691356.3884;13.85839273;2.52652959;0.732976202;87.78422494
3;0;11;129919.9577;130509.766;653877.484;161154.4323;-0.854632429;-19.05894222;16.64897836;15.19011332;-24.08643278;0.003545701;523367.7179;13.2816175;2.324862578;0.690311502;87.78422494
3;0;12;121300.4319;121752.9358;528550.902;148161.6382;-7.323313883;-3.543481026;17.06715903;1.923938445;10.22953414;0.003482175;406797.9662;12.56264725;2.118085857;0.991253424;87.78422494
3;0;13;116557.3235;117020.8836;550183.4054;143529.3591;-7.267610833;-3.357493466;17.02022459;1.623441921;10.4130681;0.002917611;433162.5218;12.33992828;2.233146609;0.992591842;87.78422494
3;0;14;111784.9293;112233.0312;492102.6018;136975.4496;-8.348484785;-3.55614239;16.95684276;1.96234536;11.24881155;0.004622368;379869.5706;11.90493321;2.132461808;0.991896025;87.78422494
3;0;15;105972.7953;106580.713;492196.1365;132405.9009;-9.540502778;-3.453044891;16.90212537;1.79605596;12.57763642;0.003099534;385615.4235;12.06829692;2.207286944;0.99125338;87.78422494
3;0;16;159791.1956;160354.0649;535818.1049;186996.8062;-12.52244579;-3.304462217;17.43346968;1.374418445;15.86247542;0.001929108;375464.0401;13.54064725;1.740482404;0.993421638;87.78422494
3;0;17;103571.1621;104112.2038;532655.3633;128785.7758;-7.306224473;-3.416651111;16.84967597;1.746151283;10.32582933;0.003994049;428543.1594;11.60521602;2.355063199;0.99335614;87.78422494
3;0;18;104711.6203;105071.0753;501766.7548;129276.4327;-8.54653123;-3.426552315;16.86394042;1.748418248;11.58664065;0.003238227;396695.6795;11.7341405;2.255651317;0.992328551;87.78422494
3;0;19;110362.7668;110913.3485;656269.25;140154.4685;0.498646877;-17.55664185;16.38090184;13.77466549;-26.13283896;0.004451502;545355.9015;11.76078174;2.564854831;0.671835103;87.78422494
3;0;20;103711.303;104291.5433;452665.7443;129981.7079;-8.89133462;-4.076388472;16.84731501;3.142467077;11.31440605;0.003477829;348374.2009;11.43659184;2.117823955;0.990426409;87.78422494
