SL_NO,gRNA_name,AA_0_ABS_GT,AA_50_ABS_GT,AA_75_ABS_GT,AA_100_ABS_GT,AA_150_ABS_GT
1550,RPL25-NRg-1,2.0997,2.8567,3.3433,3.5898,6.2476
1597,RPL25-NRg-1,2.2056,2.9457,3.3597,3.7674,9.4956
2433,RPL25-TRg-2,2.0139,2.7214,3.2262,3.5787,5.0979
2434,RPL25-TRg-2,2.0947,2.7761,3.2814,3.5902,5.1227
2481,RPL25-TRg-2,2.1346,2.7263,3.4319,3.5554,5.2214
1859,RPL25-TRg-5,1.9292,2.731,3.1063,3.3311,5.2308
1860,RPL25-TRg-5,1.9004,2.7497,3.1086,3.3124,5.388
1907,RPL25-TRg-5,1.8869,2.5557,3.0005,3.3963,5.4315
2499,RPL33A-NRg-3,NoGrowth,3.5985,4.3221,4.9977,NoGrowth
2500,RPL33A-NRg-3,NoGrowth,3.4494,4.453,4.9043,NoGrowth
2547,RPL33A-NRg-3,NoGrowth,3.942,4.6789,5.3164,NoGrowth
2129,RPL33A-TRg-2,1.9095,2.5318,2.4608,2.9227,7.6695
2130,RPL33A-TRg-2,1.9846,2.773,3.0401,3.1603,5.2754
2177,RPL33A-TRg-2,1.9436,2.5914,3.0293,3.2045,5.153
1663,RPN11-NRg-2,2.0916,2.7816,3.0317,3.2513,5.1753
1664,RPN11-NRg-2,2.0063,2.7535,3.1021,3.2023,5.2644
1711,RPN11-NRg-2,2.0675,2.7401,2.9627,3.2429,5.1017
2529,RPN11-TRg-2,1.9822,2.5475,3.0911,3.5254,4.665
2530,RPN11-TRg-2,1.9545,2.6262,3.1952,3.462,5.1303
2577,RPN11-TRg-2,1.976,2.6397,3.2026,3.5,5.1538
2507,RPN12-NRg-3,1.9539,2.7543,3.0928,3.5741,6.7494
2508,RPN12-NRg-3,1.9718,2.7082,2.9711,3.6322,6.9255
2555,RPN12-NRg-3,2.001,2.8656,3.3524,3.6703,7.5251
2429,RPN12-NRg-8,2.0883,2.558,3.044,3.3348,4.6496
2430,RPN12-NRg-8,1.9791,2.6389,3.1442,3.3986,4.5818
2477,RPN12-NRg-8,2.0209,2.55,3.2186,3.5123,4.7719
2635,RPN2-NRg-1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2636,RPN2-NRg-1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2683,RPN2-NRg-1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1467,RPN2-TRg-11,2.1221,2.9677,3.5563,3.1623,5.2932
1468,RPN2-TRg-11,2.1345,2.8816,3.5026,3.1841,5.5059
1515,RPN2-TRg-11,2.4034,2.8731,3.3225,3.1651,5.5908
1833,RPN2-TRg-2,2.032,2.7655,3.112,3.3919,5.492
1834,RPN2-TRg-2,1.9313,2.8443,3.3436,3.4409,5.2294
1881,RPN2-TRg-2,1.884,2.9153,2.9355,3.4654,5.7106
2211,RPN2-TRg-4,1.8036,2.8851,3.2329,3.4678,5.4027
2212,RPN2-TRg-4,1.8599,2.8805,3.4513,3.4283,5.6455
2259,RPN2-TRg-4,1.813,2.9722,3.2714,3.4759,6.2493
2631,RPN2-TRg-7,1.8956,2.6179,3.1283,3.3538,4.9387
2632,RPN2-TRg-7,1.8568,2.8205,3.3545,3.7916,5.3068
2679,RPN2-TRg-7,1.8766,2.922,3.3916,3.5054,5.4797
2735,RPN2-TRg-8,2.0149,2.7524,3.2208,3.4867,5.5882
2736,RPN2-TRg-8,2.0739,2.6451,3.0955,3.4614,5.7217
2783,RPN2-TRg-8,1.943,3.0657,3.3157,3.345,6.5373
2225,RPS5-NRg-9,1.8968,2.5476,2.96,3.1326,4.708
2226,RPS5-NRg-9,2.0129,2.7163,3.0977,3.3902,4.7421
2273,RPS5-NRg-9,1.9415,2.5799,3.009,3.4066,5.2699
2703,RPT2-NRg-1,2.0066,2.8342,3.1076,3.7708,5.5756
2704,RPT2-NRg-1,2.0007,2.8789,3.2818,3.8339,5.6075
2751,RPT2-NRg-1,1.9939,2.909,3.4619,3.7598,5.7068
611,RPT4-TRg-1,2.1594,2.8459,3.7107,3.2367,7.5124
612,RPT4-TRg-1,1.9982,2.8585,3.8316,3.2797,7.8767
659,RPT4-TRg-1,2.0486,2.6929,3.6218,3.284,7.0917
1193,RRN3-TRg-3,1.9998,2.7851,3.6383,3.1894,6.1679
1194,RRN3-TRg-3,1.9928,2.8255,3.5578,3.1546,5.5034
1241,RRN3-TRg-3,1.9695,2.6829,3.428,3.158,5.6437
485,RRN3-TRg-4,1.9571,2.7767,3.6115,3.3868,5.2691
486,RRN3-TRg-4,1.9539,2.6907,3.4335,3.3445,7.543
533,RRN3-TRg-4,2.0053,2.7875,3.5946,3.3078,5.6143
1063,RRP14-NRg-6,1.8849,2.7309,3.5257,2.9529,5.0633
1064,RRP14-NRg-6,1.8918,2.4284,3.4186,2.923,5.3995
1111,RRP14-NRg-6,1.8806,2.6039,3.3939,3.1739,5.3143
1091,RRP15-TRg-2,2.0416,2.7559,3.5979,3.3146,7.712
1092,RRP15-TRg-2,2.0454,2.74,3.7074,3.3397,7.1872
1139,RRP15-TRg-2,2.0987,2.6339,3.3872,3.3244,8.9411
195,RRP15-TRg-4,1.9772,2.9365,3.8897,3.7719,NoGrowth
196,RRP15-TRg-4,1.9826,2.9488,3.6105,3.8152,NoGrowth
243,RRP15-TRg-4,1.9272,2.9357,3.5138,3.874,NoGrowth
423,RRP43-TRg-4,2.0199,2.9236,3.4168,3.3168,5.2511
424,RRP43-TRg-4,1.9881,2.8285,3.5273,3.3294,5.586
471,RRP43-TRg-4,2.0444,2.8921,3.5359,3.3233,5.1774
431,RRP46-NRg-2,2.0214,3.3269,3.6672,3.506,5.8211
432,RRP46-NRg-2,2.0397,3.0808,3.337,3.475,6.0953
479,RRP46-NRg-2,2.0045,3.2097,3.6371,3.4544,6.1094
1163,RRP46-TRg-5,1.8976,2.6844,3.4575,3.0724,5.1462
1164,RRP46-TRg-5,1.927,2.4127,3.2567,3.0347,5.0288
1211,RRP46-TRg-5,1.8788,2.4849,3.3169,3.0542,5.2373
773,RRP5-NRg-3,1.9808,2.7133,3.5353,3.0981,6.1998
774,RRP5-NRg-3,2.0379,2.6796,3.5139,3.0776,6.5336
821,RRP5-NRg-3,2.0072,2.7719,3.5915,3.1621,6.9951
199,RRP5-TRg-3,1.997,3.0638,3.5671,3.3845,5.8558
200,RRP5-TRg-3,1.9999,2.9017,3.4755,3.4519,6.9743
247,RRP5-TRg-3,1.9956,3.0002,3.5036,3.4327,6.095
687,RRP7-TRg-1,1.9591,2.4138,3.2964,3.0022,4.6226
688,RRP7-TRg-1,1.9508,2.4243,3.3514,2.9884,5.0179
735,RRP7-TRg-1,1.9987,2.4245,3.195,3.061,5.1819
907,RRP7-TRg-5,1.9857,2.9682,3.7203,3.1825,6.1261
908,RRP7-TRg-5,2.0031,2.9599,3.5788,3.2871,5.9594
955,RRP7-TRg-5,1.9736,2.9486,3.5926,3.2583,5.2865
1161,RRP7-TRg-8,1.8979,2.6857,3.5844,3.0594,5.2771
1162,RRP7-TRg-8,1.9493,2.5223,3.4943,3.0229,5.3965
1209,RRP7-TRg-8,1.8997,2.5843,3.3023,3.051,5.3945
333,RRP7-TRg-9,2.16,3.3723,3.7086,3.5888,5.4073
334,RRP7-TRg-9,2.1383,3.3378,3.5835,3.5723,5.8529
381,RRP7-TRg-9,2.0981,3.3531,3.5729,3.4645,5.2405
319,RRS1-TRg-1,2.2807,2.732,3.4603,3.2786,5.5929
320,RRS1-TRg-1,2.1301,2.7567,3.7085,3.2633,5.3375
367,RRS1-TRg-1,2.1863,2.7976,3.7637,3.3613,5.3643
2061,RSC3-NRg-6,2.0248,2.9884,3.1752,3.3312,5.2964
2062,RSC3-NRg-6,1.9459,3.0634,3.086,3.2828,5.1552
2109,RSC3-NRg-6,1.9988,2.9193,3.0978,3.291,5.6761
2715,RSC3-TRg-4,2.0956,2.6594,3.0431,3.6701,6.1806
2716,RSC3-TRg-4,2.1619,2.6437,3.0725,3.7384,5.7211
2763,RSC3-TRg-4,2.0466,2.756,3.0215,3.8234,6.5228
1485,RSC3-TRg-5,2.0229,2.8122,3.8552,3.2157,6.1766
1486,RSC3-TRg-5,2.0091,2.7118,3.7489,3.3349,6.3378
1533,RSC3-TRg-5,1.9985,3.6492,3.8006,3.3972,6.6707
2413,RSC3-TRg-8,1.8752,2.6675,2.9952,3.161,5.0205
2414,RSC3-TRg-8,1.8536,2.6068,3.0524,3.1907,4.8564
2461,RSC3-TRg-8,1.8799,2.8319,3.0366,3.2064,5.1218
2801,RSM19-NRg-4,2.0033,2.6359,3.2049,3.6549,5.6364
2802,RSM19-NRg-4,2.0078,2.5479,3.2438,3.5488,5.6378
2849,RSM19-NRg-4,2.0058,2.8006,3.1664,3.6502,5.7567
211,RTS2-NRg-3,2.2254,2.7715,3.8125,3.1025,5.5416
212,RTS2-NRg-3,2.2169,2.7824,4.0881,3.0472,5.1577
259,RTS2-NRg-3,2.2754,2.8769,3.7497,3.2552,5.1264
1073,RTS2-NRg-4,2.0199,2.5613,3.4071,3.0243,5.1953
1074,RTS2-NRg-4,2.037,2.3683,3.2706,3.03,4.8426
1121,RTS2-NRg-4,1.9773,2.4186,3.2275,3.0917,5.013
2333,RTT105-TRg-2,2.1038,2.5529,3.0658,3.275,4.4637
2334,RTT105-TRg-2,2.0135,2.5959,3.1127,3.3626,4.5387
2381,RTT105-TRg-2,2.074,2.7063,3.1988,3.4878,4.5497
1,RVB2-TRg-2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2,RVB2-TRg-2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
49,RVB2-TRg-2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2437,RVS161-NRg-1,1.9599,2.6518,3.1365,3.4461,4.9959
2438,RVS161-NRg-1,1.9126,2.7101,3.1415,3.505,5.0083
2485,RVS161-NRg-1,1.9487,2.742,3.3274,3.3609,5.1294
109,SAH1-TRg-4,2.2245,2.9925,3.8939,3.571,6.6104
110,SAH1-TRg-4,2.2174,2.9313,3.9338,3.3948,7.7919
157,SAH1-TRg-4,2.2216,2.7727,3.8258,3.4494,7.9584
991,SAM50-TRg-1,2.2072,2.8694,3.8802,3.3946,4.8326
992,SAM50-TRg-1,2.1028,2.6335,3.5175,3.262,4.8098
1039,SAM50-TRg-1,2.1298,2.7086,3.5949,3.3493,4.9034
815,SAM50-TRg-4,1.9753,2.9199,3.5676,3.2024,5.6107
816,SAM50-TRg-4,2.013,2.7794,3.3524,3.0935,5.9956
863,SAM50-TRg-4,2.0649,3.1008,3.5692,3.2253,5.8603
1185,SAM50-TRg-6,1.9753,2.6655,3.446,3.0085,5.302
1186,SAM50-TRg-6,1.9405,2.6157,3.2471,2.9917,5.2438
1233,SAM50-TRg-6,1.9589,2.577,3.2622,3.1065,5.2169
897,SEC11-NRg-3,2.0764,2.5165,3.381,3.2394,NoGrowth
898,SEC11-NRg-3,2.019,2.4787,3.3374,3.1806,NoGrowth
945,SEC11-NRg-3,2.046,2.571,3.5089,3.3199,9.6749
311,SEC12-NRg-1,2.2839,2.8384,3.802,3.2178,5.2988
312,SEC12-NRg-1,2.1843,2.6814,3.8458,3.1986,5.2579
359,SEC12-NRg-1,2.1905,2.535,3.8845,3.2862,4.8878
2535,SEC17-TRg-3,1.8983,2.614,3.1989,3.3929,5.303
2536,SEC17-TRg-3,1.8848,2.7331,3.2027,3.4845,5.2373
2583,SEC17-TRg-3,1.8461,2.7983,3.3232,3.6322,5.5781
1483,SEC17-TRg-9,1.9409,2.9725,3.7836,3.3416,5.5765
1484,SEC17-TRg-9,1.9771,2.8191,3.7465,3.0717,5.5635
1531,SEC17-TRg-9,2.0049,2.7562,3.4553,3.2331,5.7747
505,SEC20-NRg-4,2.2372,2.7685,3.7577,3.2614,5.4588
506,SEC20-NRg-4,2.1492,2.7391,3.8494,3.2508,4.8792
553,SEC20-NRg-4,2.1065,2.5909,3.6804,3.0262,4.574
11,SEC21-NRg-3,2.2751,2.9626,4.0475,3.9186,19.5694
12,SEC21-NRg-3,2.2377,2.9922,4.01,3.9991,20.6118
59,SEC21-NRg-3,2.23,3.1562,3.8641,4.1057,NoGrowth
1103,SEC21-NRg-5,NoGrowth,3.1323,3.8539,4.3422,NoGrowth
1104,SEC21-NRg-5,NoGrowth,2.8613,3.5236,4.2209,NoGrowth
1151,SEC21-NRg-5,NoGrowth,2.9769,3.6771,4.4702,NoGrowth
779,SEC24-NRg-1,1.9036,2.7105,3.3798,3.214,5.1845
780,SEC24-NRg-1,1.9207,2.498,3.3889,3.196,5.2972
827,SEC24-NRg-1,1.8879,2.5054,3.4677,3.1748,5.0977
413,SEC24-TRg-1,2.3623,2.7343,3.6507,3.259,4.9464
414,SEC24-TRg-1,2.1119,2.6733,3.7055,3.3145,5.0631
461,SEC24-TRg-1,2.1799,2.7305,3.5802,3.2087,4.9593
119,SEC24-TRg-2,2.326,3.1009,3.9309,3.8771,8.2171
120,SEC24-TRg-2,2.3137,3.0237,3.8565,3.8082,8.1176
167,SEC24-TRg-2,2.3323,3.004,4.0675,3.4329,6.834
987,SEC3-TRg-2,2.1207,2.4475,3.305,3.0357,5.555
988,SEC3-TRg-2,1.9707,2.3968,3.2246,2.9709,5.4262
1035,SEC3-TRg-2,2.028,2.4617,3.2727,3.032,5.3408
1005,SEC3-TRg-3,2.0396,3.0159,3.6434,3.2304,NoGrowth
1006,SEC3-TRg-3,1.9875,3.0679,3.7272,3.3139,NoGrowth
1053,SEC3-TRg-3,2.074,2.9773,3.6218,3.2811,NoGrowth
481,SEC3-TRg-5,2.0118,3.0738,3.6521,3.442,5.9299
482,SEC3-TRg-5,1.9521,2.8393,3.6232,3.5804,6.1524
529,SEC3-TRg-5,2.012,3.1808,3.6869,3.5013,6.2615
2605,SEC31-NRg-1,2.028,2.6955,3.1862,3.8243,6.549
2606,SEC31-NRg-1,1.9583,2.8243,3.3723,3.7753,6.6883
2653,SEC31-NRg-1,1.9864,2.961,3.3573,3.9989,7.9513
2613,SEC31-NRg-13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2614,SEC31-NRg-13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2661,SEC31-NRg-13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2335,SEC31-NRg-4,2.0333,2.5496,3.0585,3.3472,4.5008
2336,SEC31-NRg-4,1.9693,2.6468,3.0746,3.3745,4.7214
2383,SEC31-NRg-4,2.1028,2.6877,3.1308,3.348,4.8334
2049,SEC4-NRg-1,1.9127,2.4968,3.0484,3.4088,5.1545
2050,SEC4-NRg-1,1.914,2.5994,3.137,3.3938,4.7144
2097,SEC4-NRg-1,1.9051,2.5266,3.1096,3.4302,5.174
1581,SEC4-NRg-2,1.9633,2.6499,2.9496,3.2,5.1457
1582,SEC4-NRg-2,1.9346,2.6831,2.9239,3.3364,5.125
1629,SEC4-NRg-2,2.0003,2.807,2.8562,3.5346,5.5188
2019,SEC4-TRg-10,1.8551,2.9119,3.2862,3.3272,5.6501
2020,SEC4-TRg-10,1.8649,2.8647,3.4295,3.2791,5.7822
2067,SEC4-TRg-10,1.8306,3.0146,3.0641,3.4866,6.1655
2021,SEC4-TRg-2,1.8765,3.0658,3.3556,3.4882,5.5876
2022,SEC4-TRg-2,1.8698,2.9448,3.4227,3.6072,5.6369
2069,SEC4-TRg-2,1.8582,2.946,2.9993,3.3947,5.52
1951,SEC4-TRg-6,1.9477,2.5306,3.0947,3.6122,6.2232
1952,SEC4-TRg-6,1.9185,2.6504,3.2042,3.5817,5.9639
1999,SEC4-TRg-6,1.9495,2.4948,2.978,3.6257,6.4413
2217,SEC59-TRg-11,1.8761,2.6391,3.1173,3.3313,5.178
2218,SEC59-TRg-11,1.9101,2.6562,3.2951,3.4094,5.1226
2265,SEC59-TRg-11,1.8582,2.8423,3.2213,3.4441,5.4118
1933,SEC59-TRg-12,1.9528,2.9253,3.1487,3.2484,4.8445
1934,SEC59-TRg-12,1.9289,2.9492,3.208,3.3411,4.9949
1981,SEC59-TRg-12,1.9737,2.8818,3.0479,3.3037,4.7918
2803,SEC59-TRg-5,1.9949,2.5501,3.1195,3.719,5.6236
2804,SEC59-TRg-5,2.0084,2.563,3.0317,3.5437,5.736
2851,SEC59-TRg-5,2.004,2.7373,3.1256,3.5381,5.6552
1829,SEC62-NRg-2,1.9809,2.9275,3.4322,3.769,NoGrowth
1830,SEC62-NRg-2,1.929,2.8803,3.5647,3.6632,11.4565
1877,SEC62-NRg-2,1.91,3.0551,3.4188,3.7026,10.7494
2417,SEC62-TRg-1,1.9482,2.5812,2.9765,3.3763,4.8002
2418,SEC62-TRg-1,1.983,2.5523,3.0665,3.4887,4.7729
2465,SEC62-TRg-1,1.9677,2.5872,3.0095,3.4305,4.6709
1735,SEC62-TRg-4,1.9707,2.8952,3.2007,3.4683,NoGrowth
1736,SEC62-TRg-4,2.0132,2.9994,3.3934,3.4434,7.5926
1783,SEC62-TRg-4,1.8897,2.8742,3.2264,3.5145,8.0024
495,SEC7-NRg-3,2.1899,2.761,3.5114,3.3572,5.198
496,SEC7-NRg-3,2.0604,2.7045,3.7339,3.2964,5.1958
543,SEC7-NRg-3,2.0442,2.6667,3.5864,3.3122,5.1656
117,SEC7-TRg-4,2.2862,2.9912,3.8618,3.4271,5.918
118,SEC7-TRg-4,2.3709,3.0031,3.905,3.5048,5.8158
165,SEC7-TRg-4,2.3139,2.9543,4.0438,3.279,5.239
1675,SFH1-NRg-5,1.9073,2.8398,2.8572,3.3072,5.4942
1676,SFH1-NRg-5,1.846,2.8092,2.8118,3.3542,5.639
1723,SFH1-NRg-5,1.9348,2.6113,2.9093,3.3184,5.8616
1281,SHR3-NRg-6,1.9561,2.6498,3.4961,3.1355,5.5221
1282,SHR3-NRg-6,2.0207,2.6753,3.4487,3.0974,5.6522
1329,SHR3-NRg-6,2.0178,2.6035,3.2541,3.1246,5.6238
219,SHR3-TRg-5,2.3598,2.9141,3.8615,3.1878,6.3049
220,SHR3-TRg-5,2.3227,2.7153,4.107,3.2511,5.3498
267,SHR3-TRg-5,2.2887,2.8836,3.9734,3.4093,5.4701
2311,SHY1-NRg-5,1.8717,2.7532,3.2008,3.3297,5.3323
2312,SHY1-NRg-5,1.8354,2.684,3.368,3.3443,5.3723
2359,SHY1-NRg-5,1.845,2.8523,3.1608,3.3762,5.3303
391,SIS1-NRg-8,1.9983,2.9328,3.3654,3.3942,5.3788
392,SIS1-NRg-8,1.9416,2.7965,3.2948,3.3012,5.5853
439,SIS1-NRg-8,1.9458,2.7395,3.3436,3.3279,5.3392
673,SLD2-NRg-2,2.0347,2.7838,3.3094,3.3371,5.8729
674,SLD2-NRg-2,1.9753,2.7344,3.5511,3.2997,6.3448
721,SLD2-NRg-2,2.0686,3.104,3.6122,3.3998,6.0353
677,SLD2-TRg-4,1.8982,2.613,3.3999,3.2365,4.9209
678,SLD2-TRg-4,1.8887,2.5759,3.4472,3.0437,5.399
725,SLD2-TRg-4,1.8863,2.6471,3.4582,3.1114,5.2154
2139,SLD3-TRg-1,2.0148,2.4839,3.1387,3.3145,4.6576
2140,SLD3-TRg-1,1.9979,2.5229,3.1756,3.4848,4.6185
2187,SLD3-TRg-1,2.0162,2.4956,3.0983,3.4168,4.7334
21,SMD2-NRg-5,2.4163,2.859,4.0512,3.4422,5.4125
22,SMD2-NRg-5,2.3626,2.8961,4.0064,3.4027,5.4254
69,SMD2-NRg-5,2.3918,3.0423,3.8393,3.3481,5.6174
1067,SMD2-TRg-3,1.8875,2.5697,3.4363,3.0195,5.082
1068,SMD2-TRg-3,1.9156,2.4156,3.3745,3.0939,5.0319
1115,SMD2-TRg-3,1.8975,2.5477,3.3144,3.0024,5.3457
97,SMD2-TRg-6,2.0833,2.9349,3.4803,3.4243,6.0647
98,SMD2-TRg-6,2.0016,2.8424,3.4843,3.3528,7.1751
145,SMD2-TRg-6,2.0095,2.8834,3.5906,3.4774,6.0232
2503,SMT3-NRg-1,1.8558,2.9474,3.1459,3.5012,5.6403
2504,SMT3-NRg-1,1.7942,2.78,3.0694,3.5328,5.6415
2551,SMT3-NRg-1,1.8029,3.0734,3.3493,3.6841,5.668
2701,SMT3-NRg-8,1.9637,2.8709,3.0741,3.6424,5.5346
2702,SMT3-NRg-8,1.9538,2.8118,3.1111,3.6078,5.5851
2749,SMT3-NRg-8,1.9396,2.8983,3.1719,3.5423,5.9323
295,SMX2-NRg-2,1.9528,3.0549,3.4064,3.6551,6.3498
296,SMX2-NRg-2,1.9002,2.8797,3.3354,3.242,7.6961
343,SMX2-NRg-2,2.0044,2.884,3.3252,3.216,6.1949
1645,SNU114-NRg-1,2.0769,2.8066,3.2338,3.2941,5.3808
1646,SNU114-NRg-1,2.0406,2.8188,3.1391,3.2713,5.7581
1693,SNU114-NRg-1,2.0511,2.7822,3.1523,3.3082,5.4958
2229,SNU114-TRg-2,2.0395,2.5733,3.0503,3.2566,6.2764
2230,SNU114-TRg-2,1.997,2.6281,3.0074,3.295,6.5572
2277,SNU114-TRg-2,2.1035,2.5667,2.9904,3.1724,6.6766
2251,SNU114-TRg-6,1.9557,2.7614,3.1027,3.3671,8.1547
2252,SNU114-TRg-6,1.9428,2.8371,3.1269,3.416,8.037
2299,SNU114-TRg-6,1.9683,2.8307,3.1158,3.4686,9.2472
2325,SOG2-NRg-1,2.0322,2.5134,3.0068,3.2299,4.6659
2326,SOG2-NRg-1,2.0208,2.5425,3.0955,3.3175,4.6788
2373,SOG2-NRg-1,2.026,2.567,3.0934,3.3695,4.6999
1189,SPB4-TRg-3,2.0129,2.6692,3.5143,3.1858,5.5502
1190,SPB4-TRg-3,1.9341,2.6446,3.418,3.0748,5.4313
1237,SPB4-TRg-3,2.0027,2.6536,3.3966,3.1324,5.3963
37,SPC24-TRg-1,2.2291,3.2418,3.5006,3.5497,5.4069
38,SPC24-TRg-1,2.1506,3.1628,3.5262,3.4959,5.6304
85,SPC24-TRg-1,2.2415,3.1473,3.6117,3.4098,6.4258
43,SPC24-TRg-3,2.1511,3.0847,3.4975,3.6363,5.3211
44,SPC24-TRg-3,2.1378,3.1363,3.5355,3.5633,5.3549
91,SPC24-TRg-3,2.2016,3.3643,3.5195,3.523,5.7833
489,SPC25-NRg-1,1.9302,2.7436,3.3948,3.3471,4.9523
490,SPC25-NRg-1,1.9463,2.6041,3.391,3.2869,4.922
537,SPC25-NRg-1,1.9325,2.7893,3.5955,3.2505,5.1029
891,SPC25-NRg-2,2.0553,2.3814,3.3445,2.9997,5.1944
892,SPC25-NRg-2,1.9093,2.4044,3.4054,3.0549,4.8053
939,SPC25-NRg-2,2.0704,2.5326,3.5413,3.1773,4.7323
2253,SPC97-NRg-2,2.0249,2.8759,3.2328,3.3223,5.5071
2254,SPC97-NRg-2,1.9782,3.0171,3.1835,3.4234,5.5117
2301,SPC97-NRg-2,1.9657,2.8645,3.1747,3.3332,5.6525
2611,SPC97-TRg-3,2.0011,2.5936,3.0964,3.7138,7.7767
2612,SPC97-TRg-3,1.9846,2.6744,3.042,3.5515,6.9706
2659,SPC97-TRg-3,2.0135,2.796,3.2113,3.7709,8.2207
981,SPN1-TRg-4,2.096,2.8146,3.4886,3.1826,5.139
982,SPN1-TRg-4,2.1133,2.4883,3.3153,3.1136,4.7419
1029,SPN1-TRg-4,2.0921,2.4247,3.3232,3.1391,4.9148
2245,SQT1-NRg-3,2.0076,2.4812,3.0125,3.2727,4.6964
2246,SQT1-NRg-3,1.9102,2.6613,3.0561,3.3988,4.8971
2293,SQT1-NRg-3,1.9149,2.6404,3.0903,3.4314,6.1157
1653,SQT1-NRg-6,2.1376,2.8072,3.4179,3.6852,NoGrowth
1654,SQT1-NRg-6,2.1166,2.8254,3.4493,3.8401,NoGrowth
1701,SQT1-NRg-6,2.1453,2.8244,3.2978,3.9447,NoGrowth
2047,SQT1-TRg-1,1.9728,2.5606,3.1011,3.4698,5.0218
2048,SQT1-TRg-1,1.9324,2.6719,3.1407,3.4124,4.7066
2095,SQT1-TRg-1,1.9681,2.5678,3.0545,3.5871,5.0013
1443,SQT1-TRg-2,1.9817,2.9233,3.5442,3.4045,6.2136
1444,SQT1-TRg-2,1.8488,2.918,3.5806,3.2866,6.2245
1491,SQT1-TRg-2,1.8604,2.6911,3.3635,3.5696,6.9513
1461,SRM1-NRg-6,2.0838,2.9155,3.4061,3.0896,5.555
1462,SRM1-NRg-6,2.04,2.9166,3.4501,3.0832,5.9432
1509,SRM1-NRg-6,2.064,2.918,3.3282,2.9755,5.649
1767,SRM1-TRg-4,1.9591,2.7602,3.1111,3.4756,NoGrowth
1768,SRM1-TRg-4,1.9392,2.7947,3.092,3.4319,NoGrowth
1815,SRM1-TRg-4,1.9416,2.6773,3.1054,3.4484,NoGrowth
2619,SRM1-TRg-9,2.0761,2.4218,3.0503,3.3937,5.022
2620,SRM1-TRg-9,1.9646,2.5337,3.1628,3.621,5.0118
2667,SRM1-TRg-9,2.084,2.8196,3.3313,3.7645,5.2895
979,SRP54-NRg-4,2.0365,2.5324,3.3604,3.1801,5.1423
980,SRP54-NRg-4,2.0288,2.3294,3.3468,3.1076,4.8728
1027,SRP54-NRg-4,2.0219,2.4416,3.3371,3.0793,4.8522
7,SRP54-TRg-3,2.1927,2.8463,3.9385,3.5875,5.9744
8,SRP54-TRg-3,2.1645,2.8442,3.9925,3.4463,5.8515
55,SRP54-TRg-3,2.1674,3.0461,3.5723,3.5635,6.1871
1643,SSL1-TRg-10,1.9932,2.8529,3.2237,3.3459,5.6539
1644,SSL1-TRg-10,2.0121,2.7632,3.4497,3.5671,6.511
1691,SSL1-TRg-10,2.0043,2.7669,3.2171,3.4288,5.9008
2731,SSL1-TRg-12,2.077,3.0228,3.3727,3.5823,6.603
2732,SSL1-TRg-12,2.0124,2.962,3.4724,3.5814,6.8431
2779,SSL1-TRg-12,2.024,2.8614,3.4098,3.573,7.6549
1923,STS1-TRg-1,1.843,3.0346,3.2527,3.4916,6.0108
1924,STS1-TRg-1,1.8689,3.051,3.3157,3.5105,5.7131
1971,STS1-TRg-1,1.8391,2.9649,3.0986,3.5816,6.3964
1257,STT4-TRg-2,1.9164,2.6735,3.5116,3.0613,5.3741
1258,STT4-TRg-2,1.9122,2.5312,3.5278,2.9833,5.382
1305,STT4-TRg-2,1.8541,2.5331,3.0837,3.0575,5.5456
1387,STU1-TRg-1,1.9777,2.9144,3.5997,3.1474,5.5986
1388,STU1-TRg-1,1.9425,2.9302,3.6406,3.3863,6.8271
1435,STU1-TRg-1,1.9675,2.9351,3.5296,3.2822,5.8086
2219,STU1-TRg-6,1.8917,2.5506,3.0748,3.2304,5.1355
2220,STU1-TRg-6,1.906,2.6085,3.1821,3.3794,4.8768
2267,STU1-TRg-6,1.9013,2.7965,3.1075,3.458,4.9912
2051,STU1-TRg-8,1.9307,2.554,3.0724,3.358,4.9604
2052,STU1-TRg-8,1.9001,2.6222,3.0734,3.381,5.1445
2099,STU1-TRg-8,1.9543,2.5233,3.1491,3.367,5.2622
589,STU2-NRg-2,1.9751,2.7553,3.1549,3.2059,5.1729
590,STU2-NRg-2,1.9446,2.5954,3.1561,3.1629,5.2789
637,STU2-NRg-2,1.9916,2.6747,3.1661,3.0591,5.2477
231,STU2-NRg-4,2.1691,2.9758,3.6073,3.4642,6.5402
232,STU2-NRg-4,2.143,3.0167,4.0271,3.4698,6.8095
279,STU2-NRg-4,2.164,2.9447,3.7539,3.4484,6.1142
1093,STU2-NRg-5,1.9768,2.5826,3.3769,3.1051,5.5818
1094,STU2-NRg-5,1.8761,2.5525,3.37,3.1661,5.7637
