SL_NO,gRNA_name,AA_0_ABS_GT,AA_50_ABS_GT,AA_75_ABS_GT,AA_100_ABS_GT,AA_150_ABS_GT
2769,PIS1-TRg-1,1.8875,2.7973,3.1234,3.4677,5.5985
2419,PMA1-NRg-1,1.9976,2.6259,3.1274,3.4727,5.5689
2420,PMA1-NRg-1,2.0141,2.6109,3.1727,3.6241,5.4508
2467,PMA1-NRg-1,2.0292,2.633,3.1993,3.6892,5.6215
963,POL2-NRg-1,1.8818,2.6276,3.0516,3.257,5.4015
964,POL2-NRg-1,1.9344,2.5954,3.1112,3.1555,5.4813
1011,POL2-NRg-1,1.8851,2.6881,3.2068,3.2167,5.5553
1635,POL5-NRg-4,1.9317,2.857,3.1968,3.2338,8.3351
1636,POL5-NRg-4,1.956,2.7421,3.0734,3.4718,NoGrowth
1683,POL5-NRg-4,1.8644,2.7377,2.9906,3.7374,NoGrowth
2695,POL5-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2696,POL5-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2743,POL5-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2241,POL5-TRg-4,1.9294,2.5756,3.0386,3.3934,4.7773
2242,POL5-TRg-4,1.976,2.5797,3.0359,3.4478,4.5098
2289,POL5-TRg-4,1.9889,2.4889,3.0721,3.4621,5.0256
1539,POL5-TRg-8,1.9921,2.6344,2.853,3.2727,5.6591
1540,POL5-TRg-8,1.9536,2.6117,2.955,3.2549,NoGrowth
1587,POL5-TRg-8,1.8433,2.6761,2.9144,3.5399,NoGrowth
1865,POP1-TRg-11,1.9485,2.7141,3.0189,3.3255,5.2812
1866,POP1-TRg-11,2.0095,2.8176,3.0518,3.2817,4.9429
1913,POP1-TRg-11,1.9513,2.6817,2.9737,3.347,5.2385
1673,POP1-TRg-3,2.0201,2.7753,2.8403,3.1938,5.4337
1674,POP1-TRg-3,1.8887,2.7759,2.8423,3.2856,5.4915
1721,POP1-TRg-3,1.9357,2.6321,2.9364,3.3461,5.7104
2539,POP1-TRg-5,1.9187,2.8714,3.3668,3.4873,6.5924
2540,POP1-TRg-5,1.9728,2.8879,3.4032,3.6367,7.2781
2587,POP1-TRg-5,1.8985,2.7946,3.3924,3.5334,7.6013
1457,POP1-TRg-6,2.038,2.8325,3.4833,3.2041,5.3663
1458,POP1-TRg-6,2.0894,2.9423,3.5363,3.1552,5.9119
1505,POP1-TRg-6,2.0006,2.8014,3.4002,3.0108,5.5621
685,POP3-TRg-2,2.0168,2.5838,3.3612,3.1409,5.2622
686,POP3-TRg-2,1.9572,2.4326,3.2826,3.0343,5.0946
733,POP3-TRg-2,1.9463,2.5248,3.4559,3.1594,5.02
393,POP3-TRg-5,1.9729,2.9027,3.3361,3.329,5.6908
394,POP3-TRg-5,2.0167,2.8127,3.3002,3.2848,5.5098
441,POP3-TRg-5,1.9254,2.7888,3.3497,3.4436,5.4109
1389,POP4-TRg-8,2.0306,3.0198,3.8277,3.109,5.5565
1390,POP4-TRg-8,1.9653,2.8069,3.7331,3.0616,5.6079
1437,POP4-TRg-8,1.9609,2.738,3.6797,3.1233,5.9598
1835,POP7-NRg-3,1.9625,2.7619,3.1682,3.3778,5.4755
1836,POP7-NRg-3,1.9065,2.9051,3.4466,3.4987,5.1201
1883,POP7-NRg-3,1.9012,2.8815,2.9793,3.3788,5.2053
2797,POP7-NRg-4,1.9617,2.6749,3.133,3.5261,5.5616
2798,POP7-NRg-4,2.3377,2.7393,3.0706,3.4659,5.6057
2845,POP7-NRg-4,1.9112,2.8827,3.2834,3.6076,6.1223
2513,POP7-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2514,POP7-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2561,POP7-NRg-6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2423,POP7-TRg-1,2.0078,2.4471,3.0395,3.349,4.9196
2424,POP7-TRg-1,2.0258,2.4554,3.0757,3.3808,4.6197
2471,POP7-TRg-1,2.0641,2.6066,3.0481,3.4348,4.6154
2337,POP7-TRg-3,1.981,2.6472,3.0931,3.4046,4.8897
2338,POP7-TRg-3,1.9644,2.6469,3.323,3.781,5.0006
2385,POP7-TRg-3,1.9609,2.66,3.0991,3.3779,5.1694
2231,POP7-TRg-5,2.056,2.5353,3.0059,3.2875,4.6633
2232,POP7-TRg-5,2.0206,2.6636,3.1163,3.3741,4.8373
