Plate,Row,Column,Phenotypes.InitialValue,Phenotypes.ExperimentBaseLine,Phenotypes.ExperimentEndAverage,Phenotypes.ColonySize48h,Phenotypes.ChapmanRichardsParam2,Phenotypes.ChapmanRichardsParam3,Phenotypes.ChapmanRichardsParamXtra,Phenotypes.ChapmanRichardsParam1,Phenotypes.ChapmanRichardsParam4,Phenotypes.GenerationTimeStErrOfEstimate,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ChapmanRichardsFit,Phenotypes.GenerationTimeWhen
1,0,0,58703.872580099938,59888.235395722295,15002413.345161991,11321983.544205071,19.813288099299438,-2.702053699173367,15.447323404813719,2.1235871586346837,-35.641414421856751,0.0034665148241425688,14942525.109766269,1.9962756211687096,7.9687062574573435,0.9981648868690991,4.3404181111111111
1,0,1,64677.497096032334,66187.547626140775,11792242.21240826,9520471.9672551863,16.582785810156725,-2.6357898069462466,15.54812507751109,2.0693620571364941,-26.803913040409149,0.002984630002672556,11726054.664782118,2.0362748784780789,7.4770625302220068,0.99834852425269471,4.6732622222222222
1,0,2,76873.894633508811,78516.755108172816,10701217.262546957,8978311.00423152,13.008380985688806,-2.5917662851170773,15.838147890128385,2.0136367815321488,-6.0173668122977704,0.005036844405513846,10622700.507438784,2.0648118765819903,7.0905586458311518,0.99852505829116067,4.0072608333333335
1,0,3,80132.808973821811,81668.546881788629,9857238.9203309678,8457410.3577514309,17.096233789877743,-2.5641491949090969,15.917625089485872,1.9880436352587616,-3.6544106124361653,0.0053498184144425845,9775570.3734491784,2.1098037582735172,6.9152592260295265,0.9986157591188477,4.3404181111111111
1,0,4,85542.436411147515,87283.923942892492,5285569.9960305048,4481889.2409725301,13.701041617386121,-2.5388858353353574,16.274937664889606,1.7916337145669023,-58.43134431936533,0.0049330205794488611,5198286.072087612,2.0933757254328595,5.9201992890194148,0.99158718595527207,4.0072608333333335
1,0,5,89127.528154994812,90989.072894788886,5027114.9240212413,4360153.6531870784,13.457566856550644,-2.4957515148827589,16.293042814166768,1.7765752333546097,-57.967325701206541,0.0047335061936590768,4936125.851126452,2.1286199257820151,5.7878935615313907,0.99207635200548816,4.0072608333333335
1,0,6,96849.164832562703,98960.814897759541,8999196.2924640644,8114016.1516426085,32.784213778343492,-2.5120528691594743,16.140017466310109,1.9396074490509605,-31.769540824945139,0.0058104721966813549,8900235.4775663055,2.1366778523174261,6.5067949712816784,0.99884668372585861,4.0072608333333335
1,0,7,104273.12234592621,106502.49641610617,8627759.8910518475,7847384.2935386896,47.757729697158851,-2.4541548700712457,16.383692811990866,1.8933600445397585,-2.4026549218500568,0.0058548215259442982,8521257.3946357407,2.1666955695518819,6.3400268744240016,0.99898863592658993,4.0072608333333335
1,0,8,107764.96691730131,110129.68537136879,8179076.1209568279,7505543.4507986577,38.633615448843443,-2.4474268607799208,16.455583310868814,1.8708970078027796,-2.3909079928740313,0.0044624592140964179,8068946.4355854588,2.2098256036992927,6.2146625869576404,0.9991886605313679,4.0072608333333335
1,0,9,106270.64030755096,108582.1024123698,8283127.1339443298,7584143.2000652589,22.240760937777665,-2.4368698386286876,16.439614514636411,1.8755767403181283,-2.2596368728636826,0.004880206024876683,8174545.0315319598,2.1849212539525555,6.2533173036543879,0.99924034292174779,4.0072608333333335
1,0,10,110323.03879406468,112714.70177408273,8347331.8546741484,7729966.1415855894,39.471401626374373,-2.4270431951280425,16.482677242483579,1.8720838839002027,-2.371502773968365,0.0051852261378261266,8234617.1529000653,2.1782417140912873,6.2105675188343632,0.99912619863907404,4.0072608333333335
1,0,11,111309.4439804921,113831.65354271648,8145018.8936342141,7544310.1955831246,36.087297145504898,-2.4515613074912861,16.502645007084524,1.8642549577671716,-2.5143121254871605,0.0043526179104778186,8031187.240091498,2.2060501862176038,6.1609443518036038,0.99920059067093758,3.671929
1,0,12,113503.2548002812,115459.47791846869,8443807.1054992136,7860205.9926155349,20.368715328274021,-2.4113187478822238,16.523391921454085,1.8688730858707117,-2.0960630365985451,0.0051562674967182923,8328347.6275807451,2.1846150864059282,6.1924351093768344,0.9991079616362587,4.0072608333333335
1,0,13,119676.1715069628,121785.95216884212,8429208.7675347421,7861303.8345445478,21.273215731139231,-2.4141639771202525,16.619539483328065,1.8535987975397299,-2.0269307115652122,0.0045076812946506454,8307422.8153659003,2.2533942189526135,6.1129775795163788,0.99923371131387995,4.0072608333333335
1,0,14,113114.77682875695,115580.89947625145,8168123.7693583248,7657199.8371471241,38.268250447235488,-2.4380103632172925,16.55385430883144,1.8584806214122731,-2.1751990127620906,0.0050088090007191118,8052542.8698820733,2.2313692430795191,6.1430298195910105,0.99937870099248349,4.0072608333333335
1,0,15,132553.88669203798,134924.35673354121,8125812.0089981956,7428982.2470037844,35.000245336176491,-2.4825776755521201,16.721288464206964,1.8283138799655079,-3.4325841924136178,0.0040374023615150183,7990887.6522646546,2.2508596254270445,5.9122892739097779,0.99896197600279757,3.671929
1,0,16,125893.15454991537,128622.55233201051,7250661.2157910587,6584654.8152617719,5.397094574321633,-2.504482109287681,16.697373250257446,1.8036486436465522,-29.079374427070142,0.0047723285147526304,7122038.6634590486,2.2094663937428662,5.8168970378362914,0.99801257988708636,3.671929
1,0,17,124780.31242704515,127812.75219348662,7465390.3474224098,6857592.3188809901,13.774963698195448,-2.4948290407837379,16.667476926325882,1.8171474891278165,-25.725520214417767,0.0044613721348088844,7337577.5952289235,2.2324916151905283,5.8681140075875717,0.99845476948344658,3.671929
