Plate,Row,Column,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ExperimentBaseLine,Phenotypes.ColonySize48h
1,0,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,3,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,7,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,9,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,15,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,17,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,19,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,21,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,23,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,25,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,27,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,29,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,31,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,33,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,35,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,37,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,39,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,41,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,43,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,44,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,45,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,46,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,0,47,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,1,0.0,0.0,0.0,0.0,0.0
1,1,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,3,0.0,0.0,0.0,0.0,0.0
1,1,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,5,0.0,0.0,0.0,0.0,0.0
1,1,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,7,0.0,0.0,0.0,0.0,0.0
1,1,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,9,0.0,0.0,0.0,0.0,0.0
1,1,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,11,0.0,0.0,0.0,0.0,0.0
1,1,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,13,0.0,0.0,0.0,0.0,0.0
1,1,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,15,0.0,0.0,0.0,0.0,0.0
1,1,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,17,0.0,0.0,0.0,0.0,0.0
1,1,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,19,0.0,0.0,0.0,0.0,0.0
1,1,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,21,0.0,0.0,0.0,0.0,0.0
1,1,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,23,0.0,0.0,0.0,0.0,0.0
1,1,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,25,0.0,0.0,0.0,0.0,0.0
1,1,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,27,0.0,0.0,0.0,0.0,0.0
1,1,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,29,0.0,0.0,0.0,0.0,0.0
1,1,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,31,0.0,0.0,0.0,0.0,0.0
1,1,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,33,0.0,0.0,0.0,0.0,0.0
1,1,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,35,0.0,0.0,0.0,0.0,0.0
1,1,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,37,0.0,0.0,0.0,0.0,0.0
1,1,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,39,0.0,0.0,0.0,0.0,0.0
1,1,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,41,0.0,0.0,0.0,0.0,0.0
1,1,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,43,0.0,0.0,0.0,0.0,0.0
1,1,44,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,45,0.0,0.0,0.0,0.0,0.0
1,1,46,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,1,47,0.0,0.0,0.0,0.0,0.0
1,2,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,3,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,7,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,9,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,15,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,17,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,19,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,21,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,23,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,25,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,27,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,29,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,31,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,33,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,35,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,37,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,39,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,41,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,43,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,2,44,-0.072220574720660125,-0.070536739610334909,-0.033921389398203772,0.060591238664986946,0.0086603157815261511
1,2,45,-0.10113487211290106,-0.10781691837434915,-0.024605569355330648,0.0035319256423846923,-0.024265248535506601
1,2,46,-0.15394249137142424,-0.087317221972186498,-0.042609334928773279,0.0084950845847195922,-0.14022195534014514
1,2,47,-0.068793013613369425,-0.079329550447716723,0.018777251175341902,-0.13914902637501925,-0.061879715345590114
1,3,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,1,0.0,0.0,0.0,0.0,0.0
1,3,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,3,0.0,0.0,0.0,0.0,0.0
1,3,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,5,0.0,0.0,0.0,0.0,0.0
1,3,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,7,0.0,0.0,0.0,0.0,0.0
1,3,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,9,0.0,0.0,0.0,0.0,0.0
1,3,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,11,0.0,0.0,0.0,0.0,0.0
1,3,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,13,0.0,0.0,0.0,0.0,0.0
1,3,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,15,0.0,0.0,0.0,0.0,0.0
1,3,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,17,0.0,0.0,0.0,0.0,0.0
1,3,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,19,0.0,0.0,0.0,0.0,0.0
1,3,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,21,0.0,0.0,0.0,0.0,0.0
1,3,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,23,0.0,0.0,0.0,0.0,0.0
1,3,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,25,0.0,0.0,0.0,0.0,0.0
1,3,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,27,0.0,0.0,0.0,0.0,0.0
1,3,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,29,0.0,0.0,0.0,0.0,0.0
1,3,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,31,0.0,0.0,0.0,0.0,0.0
1,3,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,33,0.0,0.0,0.0,0.0,0.0
1,3,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,35,0.0,0.0,0.0,0.0,0.0
1,3,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,37,0.0,0.0,0.0,0.0,0.0
1,3,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,39,0.0,0.0,0.0,0.0,0.0
1,3,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,41,0.0,0.0,0.0,0.0,0.0
1,3,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1,3,43,0.0,0.0,0.0,0.0,0.0
1,3,44,-0.13768253693125487,0.0024937505003821414,-0.01784717237055844,-0.074823719475389794,-0.10191074406748513
1,3,45,0.0,0.0,0.0,0.0,0.0
1,3,46,-0.13414676917440005,0.015724468652860146,-0.0413335327180957,0.014347989685663975,-0.11037673175188445
1,3,47,0.0,0.0,0.0,0.0,0.0
